date,weekday,money_in_rm,in_txn_count,money_out_rm,out_txn_count,net_flow_rm,large_outflow_rm,has_large_outflow
2026-01-26,Monday,501.22,35,0.0,0,501.22,0.0,False
2026-01-27,Tuesday,506.08,24,72.41,1,433.67,0.0,False
2026-01-28,Wednesday,661.36,34,1769.04,2,-1107.68,1713.66,True
2026-01-29,Thursday,727.42,32,54.09,1,673.33,0.0,False
2026-01-30,Friday,976.49,46,71.42,1,905.07,0.0,False
2026-01-31,Saturday,1295.45,59,0.0,0,1295.45,0.0,False
2026-02-01,Sunday,267.32,11,45.1,1,222.22,0.0,False
2026-02-02,Monday,397.88,18,159.12,2,238.76,0.0,False
2026-02-03,Tuesday,420.28,22,33.72,1,386.56,0.0,False
2026-02-04,Wednesday,549.57,23,29.01,1,520.56,0.0,False
2026-02-05,Thursday,624.81,33,1863.39,1,-1238.58,1863.39,True
2026-02-06,Friday,735.36,35,71.39,1,663.97,0.0,False
2026-02-07,Saturday,895.97,51,0.0,0,895.97,0.0,False
2026-02-08,Sunday,268.79,16,0.0,0,268.79,0.0,False
2026-02-09,Monday,434.36,18,0.0,0,434.36,0.0,False
2026-02-10,Tuesday,475.56,23,125.56,2,350.0,0.0,False
2026-02-11,Wednesday,580.45,25,0.0,0,580.45,0.0,False
2026-02-12,Thursday,565.44,27,70.58,1,494.86,0.0,False
2026-02-13,Friday,838.98,59,1802.1,3,-963.12,0.0,False
2026-02-14,Saturday,976.02,52,93.16,1,882.86,0.0,False
2026-02-15,Sunday,309.66,17,63.72,1,245.94,0.0,False
2026-02-16,Monday,495.45,24,0.0,0,495.45,0.0,False
2026-02-17,Tuesday,455.45,19,0.0,0,455.45,0.0,False
2026-02-18,Wednesday,539.97,30,0.0,0,539.97,0.0,False
2026-02-19,Thursday,587.67,41,90.0,1,497.67,0.0,False
2026-02-20,Friday,761.98,52,45.13,1,716.85,0.0,False
2026-02-21,Saturday,958.52,42,1686.07,1,-727.55,0.0,False
2026-02-22,Sunday,283.31,14,0.0,0,283.31,0.0,False
2026-02-23,Monday,469.2,24,103.22,2,365.98,0.0,False
2026-02-24,Tuesday,435.59,26,45.78,1,389.81,0.0,False
2026-02-25,Wednesday,617.15,38,57.34,2,559.81,0.0,False
2026-02-26,Thursday,580.81,39,125.8,2,455.01,0.0,False
2026-02-27,Friday,900.83,59,34.01,1,866.82,0.0,False
2026-02-28,Saturday,971.06,57,149.46,2,821.6,0.0,False
2026-03-01,Sunday,331.93,16,1940.16,2,-1608.23,1924.2,True
2026-03-02,Monday,442.22,27,34.41,1,407.81,0.0,False
2026-03-03,Tuesday,472.83,32,0.0,0,472.83,0.0,False
2026-03-04,Wednesday,611.91,28,0.0,0,611.91,0.0,False
2026-03-05,Thursday,653.43,27,0.0,0,653.43,0.0,False
2026-03-06,Friday,954.34,46,84.83,2,869.51,0.0,False
2026-03-07,Saturday,808.67,37,19.43,1,789.24,0.0,False
