date,holiday_name
2026-01-01,New Year's Day
2026-02-01,Thaipusam
2026-02-02,Thaipusam (in lieu)
2026-02-17,Chinese New Year
2026-02-18,Chinese New Year Holiday
2026-03-07,Nuzul Al-Quran Day
2026-03-20,Hari Raya Aidilfitri
2026-03-21,Hari Raya Aidilfitri Holiday
2026-03-22,Hari Raya Aidilfitri Holiday
2026-03-23,Hari Raya Aidilfitri Holiday
2026-05-01,Labour Day
2026-05-27,Hari Raya Haji
2026-05-31,Wesak Day
2026-06-01,Birthday of SPB Yang di Pertuan Agong
2026-06-17,Awal Muharram
2026-08-25,Maulidur Rasul
2026-08-31,National Day
2026-09-16,Malaysia Day
2026-11-08,Deepavali
2026-11-09,Deepavali (in lieu)
2026-12-11,Birthday of The Sultan of Selangor
2026-12-25,Christmas Day
